"","draw","district","total_pop","arv_20","adv_20","arv_16","adv_16","nrv","ndv","prop_dem_2020","prop_dem_2016","prop_dem_all","dist_2020_order","dist_2016_order","dist_all_order","dem_win_all"
"1","1",2,708617,213975,157003,170322,121526,188351,134352,0.423213775479948,0.416401688550204,0.416333284785081,1,1,1,0
"2","1",5,707153,171716,170303,141472,131485,153535,146148,0.497934325286022,0.481705909722044,0.487675310244492,2,2,2,0
"3","1",4,703366,189516,194908,153888,157768,168259,171166,0.507013089713441,0.506224811972174,0.504282242026957,3,3,3,1
"4","1",1,707099,167715,203962,138695,155926,151161,173921,0.548761424570259,0.529242654121736,0.535006552192985,4,4,4,1
"5","1",6,704384,144663,209688,123428,155749,132397,176424,0.591752245654732,0.557886215555006,0.571282393360555,5,5,5,1
"6","1",3,706637,59813,332231,59820,261098,60514,290402,0.847432941200478,0.813597242909404,0.827554172508521,6,6,6,1
"7","10",2,703105,212392,153569,168873,119406,186800,131708,0.419632146594856,0.414202907599929,0.413515516093787,1,1,1,0
"8","10",4,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,2,0
"9","10",3,704672,191178,192198,154838,155026,169558,168386,0.501330286715913,0.500303358892934,0.498265984896906,2,3,3,0
"10","10",6,705651,157051,215924,132712,164532,143254,184141,0.578923520343187,0.553525050127168,0.562442920631042,4,4,4,1
"11","10",5,706765,142884,214264,121926,159829,130838,180733,0.599930560999922,0.567262337846711,0.5800700321917,5,5,5,1
"12","10",1,709521,72620,317744,68569,249970,70851,277657,0.813968501193758,0.784739074336267,0.796701940844973,6,6,6,1
"13","100",4,705344,216340,158604,171774,123452,190228,136088,0.423007169070581,0.418161002079763,0.417043601907354,1,1,1,0
"14","100",3,707749,189532,187966,153702,151752,168134,164769,0.49792581682552,0.496808030014339,0.494945975254053,2,2,2,0
"15","100",2,704159,177150,182473,143214,142141,157052,157304,0.507400805843898,0.498119885756339,0.500400819453104,3,3,3,1
"16","100",5,707779,179246,195668,149009,149294,161729,166738,0.521901022634524,0.500477702202123,0.507624814669358,4,4,4,1
"17","100",6,703957,110971,254672,104277,190915,107537,215912,0.696504513965808,0.64674855687146,0.667530275252049,5,5,5,1
"18","100",1,708268,74161,288711,65648,225998,69536,251601,0.795627659339933,0.774905193282267,0.783469360428727,6,6,6,1
"19","1000",4,702830,223934,159079,178707,129131,196940,139374,0.41533577189286,0.419477127580091,0.414416289538943,1,1,1,0
"20","1000",1,704881,170311,173956,139940,134374,152072,149369,0.50529385622206,0.489854692068214,0.495516535574126,2,2,2,0
"21","1000",5,706398,180311,186917,145530,145514,160014,160934,0.508994412190792,0.499972512747213,0.501433253985069,3,3,3,1
"22","1000",3,708094,130909,220825,117080,163317,123066,185570,0.627818180784343,0.582449170283562,0.601258440363405,4,4,4,1
"23","1000",2,705682,131539,276386,115838,214603,123065,238910,0.677541214684072,0.64944422756256,0.660017957041232,5,5,5,1
"24","1000",6,709371,110395,250931,90529,196613,99059,218256,0.694472581546858,0.684723934499307,0.687821250177269,6,6,6,1
"25","1001",4,707195,210979,157188,167894,121648,185738,134485,0.426947553691667,0.420139392557902,0.419972956346046,1,1,1,0
"26","1001",1,704028,194036,189120,156940,153296,171889,166120,0.493584858386662,0.494127051663895,0.491466203562627,2,3,2,0
"27","1001",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"28","1001",2,704265,172050,203331,140418,157087,153911,174305,0.541665667681635,0.528014655215879,0.531067955248982,4,4,4,1
"29","1001",6,708745,138070,215969,121131,159700,128385,181416,0.610014715892882,0.568669413277024,0.585588813464127,5,5,5,1
"30","1001",3,705481,60992,328090,60534,257032,61380,286300,0.843241270477688,0.809381356946273,0.823458352508053,6,6,6,1
"31","1002",1,707987,226998,136624,180399,113600,199034,121045,0.375730841368234,0.386395872094803,0.378172263722394,1,1,1,0
"32","1002",2,706387,177101,165790,144096,128408,157360,142394,0.483506420407651,0.471215101429704,0.475036196347672,2,2,2,0
"33","1002",3,708925,173910,219516,142377,168703,155646,188018,0.557960073813119,0.542313874244567,0.547098328600028,3,3,3,1
"34","1002",4,705297,140776,213533,120333,159526,129033,180267,0.602674501635578,0.570022761462022,0.58282250242483,4,4,4,1
"35","1002",5,705354,149001,232665,125275,180028,135546,200350,0.609603684897266,0.589669934458554,0.596464381832472,5,5,5,1
"36","1002",6,703306,79613,299967,75146,233287,77597,260339,0.79026028768639,0.756361997581322,0.770379598503859,6,6,6,1
"37","1003",1,703122,215402,170458,171734,131605,189903,145688,0.441761260560825,0.433854532387856,0.434123680313238,1,1,1,0
"38","1003",3,705253,170198,173436,141089,133883,152677,148867,0.504711408067886,0.486896847679036,0.493682513994641,2,2,2,0
"39","1003",5,705364,174002,181893,143986,140810,156624,155991,0.511086134955535,0.494424078989873,0.498987572573293,4,3,3,0
"40","1003",4,709573,189873,194389,152009,155782,167394,169856,0.505876199051689,0.506129159072228,0.503650111193477,3,4,4,1
"41","1003",6,704230,134050,222015,117164,165321,124424,187133,0.623523794812745,0.585238154238278,0.600638085486765,5,5,5,1
"42","1003",2,709714,63875,325904,61642,256151,63195,284876,0.836125086266833,0.806030969845151,0.818442214375803,6,6,6,1
"43","1004",4,706690,204558,162983,162788,125335,180158,138900,0.443441684057017,0.435005188756191,0.435344044029612,1,1,1,0
"44","1004",5,704533,200457,183325,162046,149609,177470,161704,0.477680037104398,0.480046846673405,0.476758242082235,2,2,2,0
"45","1004",6,703318,169641,173488,139365,134052,151492,149013,0.50560576343008,0.490284071582967,0.495875276617694,3,3,3,0
"46","1004",3,707293,174662,213894,148767,161596,159886,181342,0.550484357467135,0.520667734233784,0.531439389499103,4,4,4,1
"47","1004",1,706609,103785,255834,85845,200953,93587,222893,0.711402901403986,0.700677828994623,0.704287790697674,5,5,5,1
"48","1004",2,708813,94295,278570,88813,212007,91626,238561,0.747106861732799,0.704763646034173,0.722502703013747,6,6,6,1
"49","1005",1,703122,215402,170458,171734,131605,189903,145688,0.441761260560825,0.433854532387856,0.434123680313238,1,1,1,0
"50","1005",3,705253,170198,173436,141089,133883,152677,148867,0.504711408067886,0.486896847679036,0.493682513994641,2,2,2,0
"51","1005",5,705364,174002,181893,143986,140810,156624,155991,0.511086134955535,0.494424078989873,0.498987572573293,4,3,3,0
"52","1005",4,706123,188567,192877,151033,154631,166286,168565,0.505649584211575,0.505885547529313,0.503403006113167,3,4,4,1
"53","1005",6,707680,135355,223527,118141,166472,125532,188425,0.622842605647539,0.584906522189781,0.600161805597582,5,5,5,1
"54","1005",2,709714,63875,325904,61642,256151,63195,284876,0.836125086266833,0.806030969845151,0.818442214375803,6,6,6,1
"55","1006",5,706344,212869,168594,169778,139564,187135,149613,0.441966848685194,0.451164083764895,0.444287716630834,1,1,1,0
"56","1006",3,704879,192146,177715,155056,135379,170492,150992,0.480491319712,0.466124950505277,0.469671896579612,2,2,2,0
"57","1006",6,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"58","1006",1,706047,145482,207124,123676,154047,132911,174409,0.58740917624771,0.554678582616492,0.567515944292594,4,4,4,1
"59","1006",4,704373,150903,258191,131950,198730,140481,221755,0.631128787026942,0.600973751058425,0.612183769697104,5,5,5,1
"60","1006",2,708071,74726,282075,66456,221042,70284,245857,0.79056673047441,0.768847087631914,0.777681477568553,6,6,6,1
"61","1007",2,707959,227413,136822,180761,113666,199408,121174,0.375642099194202,0.386058343833955,0.37798129651696,1,1,1,0
"62","1007",5,706248,169122,174458,139274,134760,151191,149812,0.507765294836719,0.491763795733376,0.497709325156228,2,2,2,0
"63","1007",1,705523,173606,199343,143659,152318,156461,169930,0.534504717803238,0.514627825810789,0.520633228244651,3,3,3,1
"64","1007",6,708551,181060,210896,146493,162410,161054,180652,0.53806039453408,0.525763751080436,0.528676698682493,4,4,4,1
"65","1007",4,705015,133665,225598,117717,168769,124617,190605,0.627946657462639,0.589100339981709,0.604669090355369,5,5,5,1
"66","1007",3,703960,62534,320977,59720,251629,61485,280239,0.836943399276683,0.808189523653521,0.82007409488359,6,6,6,1
"67","1008",1,709490,200253,146361,156378,116088,174427,126628,0.422259343246378,0.426064169474356,0.420614173489894,1,1,1,0
"68","1008",6,704453,203033,179170,163547,147037,179428,158436,0.468782296318972,0.473421039074775,0.468934245732011,2,2,2,0
"69","1008",4,709487,171777,181076,145626,137309,156270,153940,0.513176875356026,0.485302277908354,0.496244479546114,3,3,3,0
"70","1008",5,704459,177855,207204,144968,157007,158860,175991,0.538109744221015,0.519933769351767,0.525580034104721,4,4,4,1
"71","1008",2,703351,130894,224804,115445,167234,122144,189423,0.632008051774258,0.59160390407494,0.607968751504492,5,5,5,1
"72","1008",3,706016,63587,329480,61661,258876,63087,287996,0.838228597160281,0.807632192227418,0.820307448665985,6,6,6,1
"73","1009",1,706558,206702,164621,164964,125502,182321,139612,0.44333639445981,0.432071223482266,0.433667874992623,1,1,1,0
"74","1009",6,704665,198313,181688,159870,149442,175307,160992,0.478125057565638,0.483143234016139,0.478716856131002,2,2,2,0
"75","1009",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"76","1009",4,707434,173106,213096,143973,164368,156479,182800,0.551773424270201,0.533072150638417,0.538789609731224,4,4,4,1
"77","1009",3,704592,130274,224672,114979,166666,121641,189054,0.632975156784412,0.591759129400486,0.608487423357312,5,5,5,1
"78","1009",2,706465,67731,309622,63131,242785,65555,270167,0.820510238423969,0.793632892689496,0.804734274191146,6,6,6,1
"79","101",2,708331,200701,167469,159933,129545,176908,143282,0.454868674796969,0.447512418905754,0.447490552484462,1,1,1,0
"80","101",1,704762,205171,179101,165543,145660,181455,157575,0.466078715076821,0.468054613869404,0.464781877709937,2,2,2,0
"81","101",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"82","101",6,702756,161063,204407,135114,155846,146291,174087,0.559298984868799,0.535626890294199,0.543380007366299,4,4,4,1
"83","101",4,705334,137153,218692,119780,162271,127221,184060,0.614570950835336,0.575325029870484,0.591298537334434,5,5,5,1
"84","101",3,708531,72038,324030,66546,255442,69428,283621,0.818117091004575,0.793327701653478,0.803347410699365,6,6,6,1
"85","1010",3,708837,224161,162253,177832,131747,196525,142250,0.41989420673164,0.425568271749699,0.419895210685558,1,1,1,0
"86","1010",6,703831,171154,171896,141358,132801,153233,147517,0.501081475003644,0.484394092479182,0.490497090606816,2,2,2,0
"87","1010",5,704102,180203,186244,145757,144885,160111,160327,0.508242665378622,0.498499872695619,0.500337038678309,3,3,3,1
"88","1010",1,706047,145482,207124,123676,154047,132911,174409,0.58740917624771,0.554678582616492,0.567515944292594,4,4,4,1
"89","1010",4,706368,151673,258503,132547,199029,141154,222052,0.630224586518958,0.600251526045311,0.611366552314664,5,5,5,1
"90","1010",2,708071,74726,282075,66456,221042,70284,245857,0.79056673047441,0.768847087631914,0.777681477568553,6,6,6,1
"91","1011",6,704761,209680,156445,166879,121003,184598,133816,0.427299419597132,0.420321520623033,0.420257903232898,1,1,1,0
"92","1011",3,704467,194565,189552,157359,153642,172356,166492,0.493474644444271,0.494024134970627,0.491347152705638,2,3,2,0
"93","1011",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"94","1011",4,705334,176541,192498,145238,147943,158587,164486,0.52161966621414,0.504613191168595,0.509129515620309,4,4,4,1
"95","1011",1,709113,129599,228941,114894,170239,121306,192903,0.638536843866793,0.597051200667759,0.613932127978511,5,5,5,1
"96","1011",2,706039,65742,326264,62547,255936,64455,284928,0.832293383264542,0.803609611816015,0.815517641098737,6,6,6,1
"97","1012",6,704238,209831,156263,166636,120777,184540,133609,0.426838462252864,0.42022107559505,0.419957315597409,1,1,1,0
"98","1012",5,706985,195184,190046,158198,154167,173087,166995,0.49333125665187,0.49354761256863,0.491043336607054,2,3,2,0
"99","1012",4,703318,169641,173488,139365,134052,151492,149013,0.50560576343008,0.490284071582967,0.495875276617694,3,2,3,0
"100","1012",3,707293,174662,213894,148767,161596,159886,181342,0.550484357467135,0.520667734233784,0.531439389499103,4,4,4,1
"101","1012",1,706609,103785,255834,85845,200953,93587,222893,0.711402901403986,0.700677828994623,0.704287790697674,5,5,5,1
"102","1012",2,708813,94295,278570,88813,212007,91626,238561,0.747106861732799,0.704763646034173,0.722502703013747,6,6,6,1
"103","1013",5,706686,221670,160390,176198,127165,194762,138848,0.419803172276606,0.419184277581643,0.416198555199185,1,1,1,0
"104","1013",6,704699,192781,160966,151976,124488,168978,137656,0.455031420761165,0.450286474911743,0.448926081256482,2,2,2,0
"105","1013",4,703537,173477,182320,145753,138248,157125,155011,0.512427030019927,0.486787018355569,0.496613655586027,3,3,3,0
"106","1013",2,706030,158720,220242,132051,175418,142925,192286,0.581171726980542,0.570522556745558,0.573626760458338,4,4,4,1
"107","1013",1,708094,130909,220825,117080,163317,123066,185570,0.627818180784343,0.582449170283562,0.601258440363405,5,5,5,1
"108","1013",3,708210,69843,323352,64567,254916,67361,283042,0.822370579483462,0.797901609788314,0.807761349075208,6,6,6,1
"109","1014",3,703858,199272,168883,158203,132305,175263,145535,0.458727981420869,0.455426356589147,0.453665546543308,1,1,1,0
"110","1014",4,704993,204648,176263,165734,141743,181388,154073,0.462740640202042,0.460987325881285,0.459287368725426,2,2,2,0
"111","1014",1,703391,177205,167092,144249,129295,157411,143501,0.485313551962405,0.47266618898605,0.476886930398256,3,3,3,0
"112","1014",5,706088,172244,209357,143972,160036,156124,178678,0.548628017222177,0.526420357359017,0.533682594488683,4,4,4,1
"113","1014",2,709490,129935,230009,115379,171603,121746,194125,0.639013290956371,0.597957363179572,0.614570505047947,5,5,5,1
"114","1014",6,709436,64095,316490,60088,248570,62285,276502,0.831588212882799,0.805324987526648,0.816152922042463,6,6,6,1
"115","1015",6,703372,207655,156956,164888,121414,182663,134272,0.430475218794825,0.424076674281004,0.423657847823686,1,1,1,0
"116","1015",5,707626,196229,187585,158983,152205,173974,164824,0.488739337283163,0.489109477229199,0.486496378372954,2,2,2,0
"117","1015",4,708849,174205,177348,142896,137288,155490,152484,0.504470165238243,0.489992290780344,0.495119717898264,3,3,3,0
"118","1015",3,706693,174786,210113,148137,159585,159519,178649,0.545891259785034,0.518601204983719,0.528284757871827,4,4,4,1
"119","1015",2,704888,107187,259444,98632,195053,102717,220406,0.707643379856041,0.664157175204726,0.682111765488684,5,5,5,1
"120","1015",1,705828,87336,276650,74089,218006,79853,241777,0.760056705477683,0.746353070062822,0.751724030718527,6,6,6,1
"121","1016",5,706993,205738,166285,163392,129323,181005,142609,0.446975052617714,0.441805168850247,0.440676237740024,1,1,1,0
"122","1016",1,706100,200134,180285,162084,145881,177357,158249,0.473911660563747,0.473693439189518,0.471532094181868,2,2,2,0
"123","1016",2,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"124","1016",3,703149,148636,210515,126977,158174,136128,178156,0.586146217050767,0.554702596168346,0.566863091980502,5,4,4,1
"125","1016",6,708356,159043,222019,134261,171324,145072,190518,0.582632222577953,0.56064270170329,0.567710599243124,4,5,5,1
"126","1016",4,705116,62576,314594,60202,244061,61741,273094,0.834090728318795,0.802138281683938,0.815607687368405,6,6,6,1
"127","1017",5,707240,218758,161406,174134,131853,192081,142033,0.424569396365779,0.430910463516424,0.425103407818888,1,1,1,0
"128","1017",4,705421,185860,165392,148851,124531,163918,139931,0.470864222837165,0.455520114711283,0.460528091255854,2,2,2,0
"129","1017",3,705853,187114,185164,151342,143352,166282,158824,0.497380989475607,0.486443565189654,0.488529894865059,3,3,3,0
"130","1017",6,708135,166427,216051,142675,168496,152762,186441,0.564871705039244,0.541490048879876,0.549644313287324,4,4,4,1
"131","1017",2,706393,115504,251074,105408,189273,110102,213357,0.684912897118758,0.642297942520895,0.65961064617154,5,5,5,1
"132","1017",1,704214,73737,289008,65215,226048,69074,251826,0.79672497208783,0.776095830915702,0.784749143035213,6,6,6,1
"133","1018",1,705422,199135,168524,158175,131893,175190,145174,0.458370392129664,0.454696829708896,0.453153288134747,1,1,1,0
"134","1018",2,707671,206737,178046,167301,143311,183172,155683,0.462717947518471,0.461382689657837,0.459438402856679,2,2,2,0
"135","1018",3,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"136","1018",6,707427,134849,215145,118902,158845,125714,180603,0.614710537894935,0.571905367114676,0.589595092665441,4,4,4,1
"137","1018",5,706504,132265,282032,117303,218748,124296,243655,0.680748352027652,0.650936911361668,0.662194150851608,5,5,5,1
"138","1018",4,702690,103140,249951,85235,195966,92930,217510,0.707893998997426,0.696889413622284,0.700650689344157,6,6,6,1
"139","1019",2,707228,222467,165626,177895,128448,196317,141885,0.426768841489025,0.419294712136396,0.41952738304327,1,1,1,0
"140","1019",3,703311,185770,188025,148915,150686,163915,164171,0.50301635923434,0.50295559761149,0.500390141609212,2,2,2,1
"141","1019",6,709382,168774,184968,138849,143840,150861,159455,0.522889563580236,0.508827722337976,0.513847175137602,3,3,3,1
"142","1019",1,708094,130909,220825,117080,163317,123066,185570,0.627818180784343,0.582449170283562,0.601258440363405,4,4,4,1
"143","1019",5,703466,128185,269043,112505,207792,119720,231953,0.67730119729727,0.648747880873065,0.659570112007462,5,5,5,1
"144","1019",4,705775,111294,239607,92382,189470,100338,209380,0.682833619738901,0.672232235357563,0.676034328001601,6,6,6,1
"145","102",4,704090,222316,165530,177812,128380,196218,141809,0.426793108604962,0.419279406385536,0.419519742505776,1,1,1,0
"146","102",2,709142,182643,158522,147473,120685,161605,134906,0.464649070098046,0.450051835112135,0.45497806152217,2,2,2,0
"147","102",1,707016,179728,183915,146974,142180,160744,157488,0.505757019934386,0.491710299701889,0.494884235400588,3,3,3,0
"148","102",5,705677,168328,209621,139109,169085,150963,184028,0.554627740779841,0.548631706003362,0.549352072145222,4,4,4,1
"149","102",6,706958,131361,226303,115909,168510,122613,190790,0.632725127493961,0.592470967129482,0.608768901382565,5,5,5,1
"150","102",3,704373,63024,324204,60348,254713,62073,283391,0.837243174563823,0.808456140239509,0.820319917560151,6,6,6,1
"151","1020",1,706558,206702,164621,164964,125502,182321,139612,0.44333639445981,0.432071223482266,0.433667874992623,1,1,1,0
"152","1020",5,704665,198313,181688,159870,149442,175307,160992,0.478125057565638,0.483143234016139,0.478716856131002,2,2,2,0
"153","1020",6,708931,172344,179980,141164,139119,153784,154565,0.510836616296364,0.496351901471013,0.501266422138551,3,3,3,1
"154","1020",4,706045,172034,207511,143517,160038,155610,178022,0.546736223636196,0.527212531501705,0.533587905236908,4,4,4,1
"155","1020",3,704592,130274,224672,114979,166666,121641,189054,0.632975156784412,0.591759129400486,0.608487423357312,5,5,5,1
"156","1020",2,706465,67731,309622,63131,242785,65555,270167,0.820510238423969,0.793632892689496,0.804734274191146,6,6,6,1
"157","1021",1,709068,213434,152404,169120,117477,187487,130022,0.416588763332404,0.409903104359083,0.409506502177891,1,1,1,0
"158","1021",6,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,2,0
"159","1021",4,704025,192438,194166,156356,157727,170876,170835,0.502234844957631,0.502182544104584,0.499940007784356,2,3,3,0
"160","1021",2,708346,161710,203243,133723,155453,145722,173404,0.556901847635175,0.537572274324287,0.543371583637811,4,4,4,1
"161","1021",5,705564,143228,211016,122016,157250,131009,177888,0.595679813913574,0.563083225312068,0.575881280815288,5,5,5,1
"162","1021",3,702711,65317,332870,65701,260856,66209,290476,0.835964006861098,0.798806946413643,0.814376831097467,6,6,6,1
"163","1022",4,707591,214761,156800,170814,121414,188969,134192,0.422003385715939,0.415476956349152,0.415248127094544,1,1,1,0
"164","1022",2,703487,172015,167733,141200,129722,153517,143982,0.493698270482828,0.478816781213781,0.483974736049533,2,2,2,0
"165","1022",5,706905,188931,196594,153092,158803,167551,172520,0.509938395694183,0.509155324708636,0.507305827312532,3,3,3,1
"166","1022",1,706559,168343,205726,140990,157202,152762,175396,0.549968054022119,0.527183827869292,0.534486436411729,4,4,4,1
"167","1022",6,709020,143217,210916,122226,156785,131111,177580,0.595584144939895,0.561931250022401,0.575267824458763,5,5,5,1
"168","1022",3,703694,60132,330327,59303,259626,60307,288743,0.845996634729895,0.814055792982137,0.827225325884544,6,6,6,1
"169","1023",1,706558,206702,164621,164964,125502,182321,139612,0.44333639445981,0.432071223482266,0.433667874992623,1,1,1,0
"170","1023",6,704665,198313,181688,159870,149442,175307,160992,0.478125057565638,0.483143234016139,0.478716856131002,2,2,2,0
"171","1023",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"172","1023",4,707434,173106,213096,143973,164368,156479,182800,0.551773424270201,0.533072150638417,0.538789609731224,4,4,4,1
"173","1023",3,704592,130274,224672,114979,166666,121641,189054,0.632975156784412,0.591759129400486,0.608487423357312,5,5,5,1
"174","1023",2,706465,67731,309622,63131,242785,65555,270167,0.820510238423969,0.793632892689496,0.804734274191146,6,6,6,1
"175","1024",3,706495,224188,159214,177990,126536,196842,137967,0.415266482699621,0.415517886814262,0.412076736288451,1,1,1,0
"176","1024",2,704433,184340,165687,148998,124891,163223,140328,0.473354912621026,0.455991295743896,0.462288050442924,2,2,2,0
"177","1024",5,704668,178386,160854,139643,124810,155794,137879,0.474159886805801,0.471955319092618,0.469498387662468,3,3,3,0
"178","1024",6,709315,162770,218963,134929,174515,146296,191219,0.573602491794003,0.563963108026008,0.566549634831045,4,4,4,1
"179","1024",1,705219,125142,235341,116142,174812,120349,198260,0.65284909413204,0.600823497872516,0.622267418685599,5,5,5,1
"180","1024",4,707126,72573,328036,69923,257988,71713,286758,0.818843311058913,0.786762261711257,0.799947555032346,6,6,6,1
"181","1025",5,705060,225739,135813,179466,112819,197951,120278,0.375638912244988,0.385989701832116,0.377960525282108,1,1,1,0
"182","1025",3,708109,173427,169731,142965,130811,155134,145507,0.494614725578305,0.477803021448191,0.483989209721894,2,2,2,0
"183","1025",6,704168,178506,210184,144772,161826,159003,180030,0.540749697702539,0.527811662176531,0.531010255638832,3,3,3,1
"184","1025",2,707156,167650,209158,141414,158832,152725,177722,0.555078448440585,0.529006214903779,0.53782300943873,4,4,4,1
"185","1025",4,705954,138175,218504,117692,163969,126396,184939,0.612606853781692,0.582150173435442,0.594019303965182,5,5,5,1
"186","1025",1,706809,63903,324706,61316,255296,63008,283937,0.835559649930907,0.80633709398254,0.818391964144173,6,6,6,1
"187","1026",4,708529,217348,162687,174826,126259,192338,139432,0.428084255397529,0.419346696115715,0.420267052476113,1,1,1,0
"188","1026",3,706387,177101,165790,144096,128408,157360,142394,0.483506420407651,0.471215101429704,0.475036196347672,2,2,2,0
"189","1026",5,703882,169818,195606,141000,150085,153295,167009,0.535285038749507,0.51560540735524,0.521407787601778,4,3,3,1
"190","1026",1,709389,184000,204678,148668,164241,163021,179052,0.526600425030488,0.52488423151779,0.523432132907303,3,4,4,1
"191","1026",6,702931,135681,215087,118160,159790,125663,181107,0.613188774346577,0.574887569706782,0.59036737621019,5,5,5,1
"192","1026",2,706138,63453,324246,60875,254768,62539,283418,0.836334372799517,0.807139711636247,0.81922897932402,6,6,6,1
"193","1027",5,705403,218634,163764,174544,126751,192833,140136,0.428255377904696,0.420687366202559,0.420868008733546,1,1,1,0
"194","1027",6,704215,189182,188953,151897,151700,167019,165137,0.499697198090629,0.499675556741338,0.49716699382218,2,2,2,0
"195","1027",1,706926,173740,189613,142169,146556,155505,162581,0.521842395686839,0.5075971945623,0.51112277811661,3,3,3,1
"196","1027",4,706525,166177,185011,136916,143732,148660,159420,0.526814697540918,0.512143325446823,0.517462996624253,4,4,4,1
"197","1027",3,706297,130016,220622,116389,163162,122299,185397,0.629201626748955,0.583657364845771,0.602533019603765,5,5,5,1
"198","1027",2,707890,69650,320131,65711,251651,67900,279741,0.821309915054864,0.792946225446021,0.804683567243219,6,6,6,1
"199","1028",4,707591,214761,156800,170814,121414,188969,134192,0.422003385715939,0.415476956349152,0.415248127094544,1,1,1,0
"200","1028",2,703487,172015,167733,141200,129722,153517,143982,0.493698270482828,0.478816781213781,0.483974736049533,2,2,2,0
"201","1028",5,706905,188931,196594,153092,158803,167551,172520,0.509938395694183,0.509155324708636,0.507305827312532,3,3,3,1
"202","1028",1,706559,168343,205726,140990,157202,152762,175396,0.549968054022119,0.527183827869292,0.534486436411729,4,4,4,1
"203","1028",6,709020,143217,210916,122226,156785,131111,177580,0.595584144939895,0.561931250022401,0.575267824458763,5,5,5,1
"204","1028",3,703694,60132,330327,59303,259626,60307,288743,0.845996634729895,0.814055792982137,0.827225325884544,6,6,6,1
"205","1029",5,704952,210193,155953,167212,120665,185020,133424,0.425931185920371,0.419154708434505,0.418987325872053,1,1,1,0
"206","1029",6,704276,194052,190043,157026,153980,171935,166883,0.494781239016389,0.495102988366784,0.492544669999823,2,3,2,0
"207","1029",1,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"208","1029",2,704168,153859,202358,127171,154308,138588,172429,0.568075077831771,0.548204306537965,0.554403778571589,4,4,4,1
"209","1029",3,706829,150011,216273,128814,163123,137835,183430,0.590451671380677,0.558760965550787,0.57096166715951,5,5,5,1
"210","1029",4,709489,68011,329072,66693,256688,67925,286458,0.828723465874893,0.79376339364403,0.808328841959123,6,6,6,1
"211","103",3,707195,210979,157188,167894,121648,185738,134485,0.426947553691667,0.420139392557902,0.419972956346046,1,1,1,0
"212","103",1,704028,194036,189120,156940,153296,171889,166120,0.493584858386662,0.494127051663895,0.491466203562627,2,3,2,0
"213","103",4,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,2,3,0
"214","103",2,704265,172050,203331,140418,157087,153911,174305,0.541665667681635,0.528014655215879,0.531067955248982,4,4,4,1
"215","103",5,706046,139216,211655,122107,155405,129410,177114,0.603227396963556,0.55999380206982,0.577814461510355,5,5,5,1
"216","103",6,708180,59845,332404,59558,261327,60355,290601,0.84743109606398,0.814394565031086,0.828026875163838,6,6,6,1
"217","1030",5,704614,203918,168846,162129,130722,179515,144534,0.452956830595229,0.446377167911327,0.446025138173548,1,1,1,0
"218","1030",6,708479,201954,177725,163347,144482,178847,156324,0.468092783640918,0.469357987713958,0.466400732760292,2,2,2,0
"219","1030",1,703318,169641,173488,139365,134052,151492,149013,0.50560576343008,0.490284071582967,0.495875276617694,3,3,3,0
"220","1030",4,707845,157024,219390,132686,168462,143302,187769,0.582842295982615,0.559399365096232,0.567156289738455,4,4,4,1
"221","1030",2,707124,135727,218259,120138,161647,126804,183490,0.616575231788828,0.573653672125912,0.591342404300438,5,5,5,1
"222","1030",3,705876,79135,310388,69960,244186,74256,271283,0.796841264829035,0.777301000171895,0.785100958213111,6,6,6,1
"223","1031",6,704418,224098,158422,178236,129133,196711,139130,0.414153508313291,0.420123694972492,0.414273421053415,1,1,1,0
"224","1031",1,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,2,2,2,0
"225","1031",5,704810,180147,187574,146002,145512,160244,161178,0.510098688951678,0.499159560089738,0.501452918593002,3,3,3,1
"226","1031",4,707134,167453,207361,140376,158356,152030,176734,0.553237072254505,0.530093863395954,0.537571023591391,4,4,4,1
"227","1031",3,705142,134585,216990,117736,160846,124957,182542,0.617194055322477,0.57737398683332,0.593634450843743,5,5,5,1
"228","1031",2,708210,69843,323352,64567,254916,67361,283042,0.822370579483462,0.797901609788314,0.807761349075208,6,6,6,1
